"_time","sum(counts)","_span"
1613577600,5423239,600
1613578200,4582103,600
1613578800,4013604,600
1613579400,3807905,600
1613580000,3581773,600
1613580600,3514964,600
1613581200,3882542,600
1613581800,3850504,600
1613582400,3802601,600
1613583000,4234023,600
1613583600,3809454,600
1613584200,3561082,600
1613584800,3585676,600
1613585400,3801750,600
1613586000,3644338,600
1613586600,3505498,600
1613587200,3605168,600
1613587800,3344429,600
1613588400,3490933,600
1613589000,3419248,600
1613589600,3759419,600
1613590200,3521458,600
1613590800,3552438,600
1613591400,3438357,600
1613592000,3537259,600
1613592600,3633495,600
1613593200,3443568,600
1613593800,3526545,600
1613594400,3751385,600
1613595000,3346733,600
1613595600,3534849,600
1613596200,3349137,600
1613596800,3345479,600
1613597400,3295529,600
1613598000,4865517,600
1613598600,4013401,600
1613599200,3743183,600
1613599800,3928006,600
1613600400,3862578,600
1613601000,3913283,600
1613601600,4093507,600
1613602200,4180643,600
1613602800,4397211,600
1613603400,4505744,600
1613604000,4916681,600
1613604600,5449146,600
1613605200,5555019,600
1613605800,6132736,600
1613606400,6505342,600
1613607000,6155646,600
1613607600,6156836,600
1613608200,6392742,600
1613608800,5753190,600
1613609400,6784041,600
1613610000,6659126,600
1613610600,6628340,600
1613611200,6538211,600
1613611800,9121359,600
1613612400,6678461,600
1613613000,6824693,600
1613613600,7031437,600
1613614200,7144652,600
1613614800,6661513,600
1613615400,6951986,600
1613616000,6741476,600
1613616600,6489134,600
1613617200,8403121,600
1613617800,6914521,600
1613618400,7318769,600
1613619000,7364803,600
1613619600,7330765,600
1613620200,7717859,600
1613620800,7267950,600
1613621400,7223727,600
1613622000,6793560,600
1613622600,6900603,600
1613623200,7349502,600
1613623800,6664805,600
1613624400,6380672,600
1613625000,6349099,600
1613625600,6673870,600
1613626200,6744516,600
1613626800,7454362,600
1613627400,6814556,600
1613628000,6896188,600
1613628600,6945866,600
1613629200,6815514,600
1613629800,6918285,600
1613630400,6692163,600
1613631000,6790065,600
1613631600,6366139,600
1613632200,5286748,600
1613632800,6518370,600
1613633400,6448260,600
1613634000,6496230,600
1613634600,6601912,600
1613635200,6429865,600
1613635800,6544436,600
1613636400,6531247,600
1613637000,6191668,600
1613637600,6009068,600
1613638200,5831314,600
1613638800,5436698,600
1613639400,5309338,600
1613640000,5298738,600
1613640600,5040013,600
1613641200,6874387,600
1613641800,4550791,600
1613642400,4629774,600
1613643000,4256037,600
1613643600,4162518,600
1613644200,4099622,600
1613644800,4494603,600
1613645400,4692381,600
1613646000,4034684,600
1613646600,3961297,600
1613647200,3988060,600
1613647800,3966974,600
1613648400,4031589,600
1613649000,3887055,600
1613649600,3813905,600
1613650200,6349899,600
1613650800,3877683,600
1613651400,3791143,600
1613652000,3892532,600
1613652600,3840296,600
1613653200,3646262,600
1613653800,3607941,600
1613654400,3487020,600
1613655000,3536982,600
1613655600,3558833,600
1613656200,3678567,600
1613656800,3547466,600
1613657400,3571654,600
1613658000,3452986,600
1613658600,3483875,600
1613659200,3461315,600
1613659800,3229967,600
1613660400,3447587,600
1613661000,3314332,600
1613661600,3350461,600
1613662200,3505396,600
1613662800,4061457,600
1613663400,3463156,600
1613664000,5108283,600
1613664600,3851263,600
1613665200,3161362,600
1613665800,3230693,600
1613666400,3163803,600
1613667000,3270413,600
1613667600,3171652,600
1613668200,2861629,600
1613668800,3035637,600
1613669400,3173183,600
1613670000,3216398,600
1613670600,3058509,600
1613671200,4011537,600
1613671800,3369673,600
1613672400,3074944,600
1613673000,3048410,600
1613673600,3150540,600
1613674200,3164797,600
1613674800,3025138,600
1613675400,2930627,600
1613676000,3160477,600
1613676600,3094596,600
1613677200,3057230,600
1613677800,3082710,600
1613678400,3058708,600
1613679000,3742803,600
1613679600,2912933,600
1613680200,2964880,600
1613680800,3076873,600
1613681400,3176791,600
1613682000,2962614,600
1613682600,2942928,600
1613683200,2883353,600
1613683800,3326982,600
1613684400,3164186,600
1613685000,3179174,600
1613685600,2986867,600
1613686200,3367865,600
1613686800,3393081,600
1613687400,3453410,600
1613688000,3741703,600
1613688600,6311238,600
1613689200,6010601,600
1613689800,4013601,600
1613690400,4434360,600
1613691000,5097044,600
1613691600,5656079,600
1613692200,5342182,600
1613692800,5711061,600
1613693400,5906388,600
1613694000,5714673,600
1613694600,5715474,600
1613695200,5820843,600
1613695800,5910746,600
1613696400,5988532,600
1613697000,6202031,600
1613697600,6048736,600
1613698200,6011506,600
1613698800,6206783,600
1613699400,6048125,600
1613700000,6362994,600
1613700600,6375483,600
1613701200,6283061,600
1613701800,6331912,600
1613702400,6622924,600
1613703000,6373151,600
1613703600,6678963,600
1613704200,6950571,600
1613704800,6449556,600
1613705400,6531442,600
1613706000,6831997,600
1613706600,6768738,600
1613707200,6911162,600
1613707800,6615946,600
1613708400,6426266,600
1613709000,6469700,600
1613709600,6366071,600
1613710200,6493191,600
1613710800,6410638,600
1613711400,6415535,600
1613712000,8001094,600
1613712600,5987508,600
1613713200,6336687,600
1613713800,6494759,600
1613714400,6936275,600
1613715000,6681824,600
1613715600,6857538,600
1613716200,6693149,600
1613716800,6771069,600
1613717400,6490979,600
1613718000,6532199,600
1613718600,6581087,600
1613719200,6605469,600
1613719800,6175947,600
1613720400,6215333,600
1613721000,6385776,600
1613721600,6257394,600
1613722200,6436974,600
1613722800,5882141,600
1613723400,6055960,600
1613724000,5692995,600
1613724600,5641302,600
1613725200,5602759,600
1613725800,5497269,600
1613726400,5058858,600
1613727000,7406371,600
1613727600,4940289,600
1613728200,4809496,600
1613728800,4818437,600
1613729400,4751851,600
1613730000,4706140,600
1613730600,4574024,600
1613731200,4620952,600
1613731800,6049462,600
1613732400,4566047,600
1613733000,4560800,600
1613733600,4597683,600
1613734200,4414596,600
1613734800,4421025,600
1613735400,4376850,600
1613736000,4212379,600
1613736600,5961951,600
1613737200,4140919,600
1613737800,4198784,600
1613738400,4634082,600
1613739000,3903485,600
1613739600,4002432,600
1613740200,3937280,600
1613740800,3948325,600
1613741400,3721794,600
1613742000,3846765,600
1613742600,4097770,600
1613743200,3974181,600
1613743800,3913484,600
1613744400,3796044,600
1613745000,3864076,600
1613745600,3741225,600
1613746200,3644536,600
1613746800,3882586,600
1613747400,3911654,600
1613748000,3829077,600
1613748600,3382924,600
1613749200,3483141,600
1613749800,3847761,600
1613750400,3939756,600
1613751000,3783115,600
1613751600,3848942,600
